Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	30cells_950buffer_20imaz_hum_lsz_1.UDT
Run Date:	11:51:12, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.00444	-0.00444	0.931	0.8667

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	12.0	156.0	0.701	156.0	-0.176
2	156.0	158.0	276.0	10.000	276.0	0.438

Data Points
s	Abs
0.0	0.701
2.0	0.700
4.0	0.700
6.0	0.699
8.0	0.699
10.0	0.698
12.0	0.701
14.0	0.699
16.0	0.699
18.0	0.698
20.0	0.698
22.0	0.698
24.0	0.698
26.0	0.698
28.0	0.698
30.0	0.698
32.0	0.697
34.0	0.698
36.0	0.697
38.0	0.697
40.0	0.697
42.0	0.697
44.0	0.697
46.0	0.697
48.0	0.697
50.0	0.696
52.0	0.696
54.0	0.696
56.0	0.696
58.0	0.696
60.0	0.696
62.0	0.696
64.0	0.696
66.0	0.695
68.0	0.695
70.0	0.695
72.0	0.695
74.0	0.695
76.0	0.694
78.0	0.695
80.0	0.694
82.0	0.695
84.0	0.694
86.0	0.694
88.0	0.694
90.0	0.693
92.0	0.693
94.0	0.690
96.0	0.694
98.0	0.259
100.0	0.118
102.0	0.118
104.0	0.118
106.0	0.118
108.0	0.118
110.0	0.118
112.0	0.118
114.0	0.118
116.0	0.118
118.0	0.118
120.0	0.118
122.0	0.118
124.0	0.118
126.0	0.118
128.0	0.118
130.0	0.118
132.0	0.118
134.0	0.118
136.0	0.118
138.0	0.118
140.0	0.118
142.0	0.118
144.0	0.118
146.0	0.118
148.0	0.118
150.0	0.118
152.0	0.118
154.0	0.118
156.0	-0.176
158.0	10.000
160.0	0.640
162.0	0.634
164.0	0.629
166.0	0.624
168.0	0.619
170.0	0.613
172.0	0.607
174.0	0.603
176.0	0.598
178.0	0.593
180.0	0.589
182.0	0.584
184.0	0.579
186.0	0.575
188.0	0.570
190.0	0.567
192.0	0.562
194.0	0.558
196.0	0.554
198.0	0.550
200.0	0.547
202.0	0.543
204.0	0.539
206.0	0.536
208.0	0.532
210.0	0.529
212.0	0.525
214.0	0.522
216.0	0.518
218.0	0.515
220.0	0.512
222.0	0.509
224.0	0.505
226.0	0.502
228.0	0.500
230.0	0.496
232.0	0.493
234.0	0.490
236.0	0.488
238.0	0.485
240.0	0.482
242.0	0.480
244.0	0.477
246.0	0.474
248.0	0.471
250.0	0.469
252.0	0.466
254.0	0.464
256.0	0.461
258.0	0.459
260.0	0.456
262.0	0.454
264.0	0.452
266.0	0.449
268.0	0.447
270.0	0.444
272.0	0.442
274.0	0.440
276.0	0.438

