Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	50cells_930buffer_20imaz_hum_lsz_1.UDT
Run Date:	12:42:18, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.004876	-0.004876	0.9545	0.9112

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	86.0	130.0	10.000	130.0	-0.905
2	130.0	134.0	330.0	10.000	330.0	0.449

Data Points
s	Abs
0.0	1.038
2.0	1.038
4.0	1.038
6.0	1.037
8.0	1.038
10.0	1.037
12.0	1.037
14.0	1.037
16.0	1.037
18.0	1.036
20.0	1.036
22.0	1.036
24.0	1.036
26.0	1.036
28.0	1.036
30.0	1.035
32.0	1.036
34.0	1.035
36.0	1.035
38.0	1.035
40.0	1.034
42.0	1.034
44.0	1.034
46.0	1.034
48.0	1.034
50.0	1.034
52.0	1.034
54.0	1.034
56.0	1.034
58.0	1.033
60.0	1.034
62.0	1.034
64.0	1.034
66.0	1.033
68.0	1.033
70.0	1.033
72.0	1.033
74.0	1.033
76.0	1.033
78.0	1.033
80.0	1.033
82.0	1.033
84.0	1.035
86.0	10.000
88.0	0.211
90.0	0.211
92.0	0.212
94.0	0.211
96.0	0.211
98.0	0.211
100.0	0.211
102.0	0.212
104.0	0.211
106.0	0.211
108.0	0.212
110.0	0.211
112.0	0.211
114.0	0.211
116.0	0.211
118.0	0.212
120.0	0.211
122.0	0.211
124.0	0.211
126.0	0.211
128.0	0.211
130.0	-0.905
132.0	-0.527
134.0	10.000
136.0	0.803
138.0	0.798
140.0	0.795
142.0	0.790
144.0	0.786
146.0	0.782
148.0	0.777
150.0	0.772
152.0	0.767
154.0	0.763
156.0	0.759
158.0	0.753
160.0	0.749
162.0	0.744
164.0	0.739
166.0	0.734
168.0	0.730
170.0	0.725
172.0	0.720
174.0	0.715
176.0	0.710
178.0	0.706
180.0	0.701
182.0	0.697
184.0	0.692
186.0	0.688
188.0	0.684
190.0	0.679
192.0	0.675
194.0	0.670
196.0	0.666
198.0	0.661
200.0	0.658
202.0	0.654
204.0	0.649
206.0	0.646
208.0	0.641
210.0	0.637
212.0	0.633
214.0	0.630
216.0	0.626
218.0	0.622
220.0	0.618
222.0	0.614
224.0	0.610
226.0	0.607
228.0	0.603
230.0	0.599
232.0	0.596
234.0	0.592
236.0	0.589
238.0	0.585
240.0	0.582
242.0	0.578
244.0	0.575
246.0	0.571
248.0	0.568
250.0	0.565
252.0	0.561
254.0	0.558
256.0	0.555
258.0	0.552
260.0	0.548
262.0	0.545
264.0	0.542
266.0	0.539
268.0	0.536
270.0	0.533
272.0	0.529
274.0	0.526
276.0	0.523
278.0	0.520
280.0	0.517
282.0	0.514
284.0	0.511
286.0	0.508
288.0	0.505
290.0	0.502
292.0	0.499
294.0	0.496
296.0	0.493
298.0	0.491
300.0	0.488
302.0	0.485
304.0	0.482
306.0	0.480
308.0	0.477
310.0	0.474
312.0	0.471
314.0	0.469
316.0	0.466
318.0	0.464
320.0	0.461
322.0	0.459
324.0	0.456
326.0	0.454
328.0	0.451
330.0	0.449

