Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	30cells_950buffer_20imaz_hum_lsz_2.UDT
Run Date:	12:00:20, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.003725	-0.003725	0.961	0.9235

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	88.0	110.0	10.000	110.0	0.118
2	110.0	146.0	264.0	10.000	264.0	0.387

Data Points
s	Abs
0.0	0.698
2.0	0.698
4.0	0.697
6.0	0.697
8.0	0.697
10.0	0.698
12.0	0.697
14.0	0.697
16.0	0.696
18.0	0.697
20.0	0.697
22.0	0.697
24.0	0.696
26.0	0.697
28.0	0.696
30.0	0.696
32.0	0.696
34.0	0.696
36.0	0.695
38.0	0.696
40.0	0.696
42.0	0.695
44.0	0.695
46.0	0.695
48.0	0.695
50.0	0.694
52.0	0.694
54.0	0.694
56.0	0.694
58.0	0.694
60.0	0.694
62.0	0.694
64.0	0.694
66.0	0.694
68.0	0.693
70.0	0.693
72.0	0.693
74.0	0.693
76.0	0.693
78.0	0.693
80.0	0.693
82.0	0.693
84.0	0.693
86.0	-0.948
88.0	10.000
90.0	0.118
92.0	0.118
94.0	0.118
96.0	0.118
98.0	0.118
100.0	0.118
102.0	0.118
104.0	0.118
106.0	0.118
108.0	0.118
110.0	0.118
112.0	0.118
114.0	0.118
116.0	0.118
118.0	0.118
120.0	0.118
122.0	0.118
124.0	0.118
126.0	0.118
128.0	0.118
130.0	0.118
132.0	0.118
134.0	0.118
136.0	0.118
138.0	0.118
140.0	0.118
142.0	0.118
144.0	-0.787
146.0	10.000
148.0	0.581
150.0	0.576
152.0	0.572
154.0	0.566
156.0	0.562
158.0	0.557
160.0	0.552
162.0	0.548
164.0	0.543
166.0	0.538
168.0	0.534
170.0	0.530
172.0	0.526
174.0	0.521
176.0	0.517
178.0	0.513
180.0	0.509
182.0	0.506
184.0	0.502
186.0	0.498
188.0	0.495
190.0	0.491
192.0	0.488
194.0	0.484
196.0	0.481
198.0	0.477
200.0	0.474
202.0	0.471
204.0	0.468
206.0	0.464
208.0	0.461
210.0	0.458
212.0	0.455
214.0	0.452
216.0	0.449
218.0	0.446
220.0	0.443
222.0	0.440
224.0	0.438
226.0	0.434
228.0	0.432
230.0	0.429
232.0	0.426
234.0	0.424
236.0	0.421
238.0	0.418
240.0	0.416
242.0	0.413
244.0	0.411
246.0	0.408
248.0	0.405
250.0	0.403
252.0	0.401
254.0	0.398
256.0	0.396
258.0	0.394
260.0	0.391
262.0	0.389
264.0	0.387

