Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	50cells_930buffer_20imaz_hum_lsz_2.UDT
Run Date:	12:51:09, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.006607	-0.006607	0.982	0.9643

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	86.0	114.0	1.118	114.0	0.117
2	114.0	132.0	296.0	10.000	296.0	0.486

Data Points
s	Abs
0.0	0.915
2.0	0.915
4.0	0.915
6.0	0.914
8.0	0.914
10.0	0.914
12.0	0.914
14.0	0.913
16.0	0.913
18.0	0.913
20.0	0.913
22.0	0.913
24.0	0.912
26.0	0.911
28.0	0.911
30.0	0.911
32.0	0.911
34.0	0.911
36.0	0.910
38.0	0.910
40.0	0.910
42.0	0.910
44.0	0.910
46.0	0.910
48.0	0.909
50.0	0.909
52.0	0.909
54.0	0.909
56.0	0.909
58.0	0.910
60.0	0.908
62.0	0.909
64.0	0.908
66.0	0.908
68.0	0.908
70.0	0.908
72.0	0.907
74.0	0.907
76.0	0.908
78.0	0.907
80.0	0.907
82.0	0.902
84.0	-0.908
86.0	1.118
88.0	0.117
90.0	0.117
92.0	0.117
94.0	0.117
96.0	0.117
98.0	0.117
100.0	0.117
102.0	0.117
104.0	0.117
106.0	0.117
108.0	0.117
110.0	0.117
112.0	0.117
114.0	0.117
116.0	0.117
118.0	0.117
120.0	0.117
122.0	0.117
124.0	0.117
126.0	0.117
128.0	0.117
130.0	-0.604
132.0	10.000
134.0	0.815
136.0	0.809
138.0	0.803
140.0	0.798
142.0	0.792
144.0	0.785
146.0	0.781
148.0	0.776
150.0	0.769
152.0	0.764
154.0	0.758
156.0	0.753
158.0	0.747
160.0	0.742
162.0	0.737
164.0	0.731
166.0	0.726
168.0	0.721
170.0	0.716
172.0	0.711
174.0	0.707
176.0	0.702
178.0	0.697
180.0	0.692
182.0	0.688
184.0	0.683
186.0	0.679
188.0	0.674
190.0	0.669
192.0	0.665
194.0	0.661
196.0	0.657
198.0	0.652
200.0	0.648
202.0	0.644
204.0	0.640
206.0	0.636
208.0	0.632
210.0	0.628
212.0	0.624
214.0	0.620
216.0	0.617
218.0	0.613
220.0	0.609
222.0	0.605
224.0	0.602
226.0	0.598
228.0	0.594
230.0	0.590
232.0	0.587
234.0	0.583
236.0	0.580
238.0	0.576
240.0	0.573
242.0	0.569
244.0	0.566
246.0	0.562
248.0	0.559
250.0	0.555
252.0	0.552
254.0	0.549
256.0	0.546
258.0	0.542
260.0	0.539
262.0	0.536
264.0	0.533
266.0	0.530
268.0	0.527
270.0	0.524
272.0	0.521
274.0	0.518
276.0	0.515
278.0	0.512
280.0	0.510
282.0	0.506
284.0	0.504
286.0	0.501
288.0	0.498
290.0	0.494
292.0	0.492
294.0	0.488
296.0	0.486

