Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	40cells_940buffer_20imaz_hum_lsz_3.UDT
Run Date:	12:34:59, 02/16/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.004663	-0.004663	0.9642	0.9298

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	92.0	96.0	10.000	96.0	0.118
2	96.0	134.0	250.0	10.000	250.0	0.629

Data Points
s	Abs
0.0	0.890
2.0	0.890
4.0	0.889
6.0	0.890
8.0	0.890
10.0	0.889
12.0	0.889
14.0	0.889
16.0	0.889
18.0	0.888
20.0	0.888
22.0	0.888
24.0	0.889
26.0	0.887
28.0	0.888
30.0	0.887
32.0	0.887
34.0	0.888
36.0	0.887
38.0	0.887
40.0	0.887
42.0	0.887
44.0	0.886
46.0	0.887
48.0	0.886
50.0	0.886
52.0	0.885
54.0	0.886
56.0	0.886
58.0	0.885
60.0	0.886
62.0	0.885
64.0	0.885
66.0	0.884
68.0	0.884
70.0	0.884
72.0	0.884
74.0	0.884
76.0	0.884
78.0	0.884
80.0	0.883
82.0	0.883
84.0	0.883
86.0	0.883
88.0	0.883
90.0	0.883
92.0	10.000
94.0	0.118
96.0	0.118
98.0	0.118
100.0	0.118
102.0	0.118
104.0	0.118
106.0	0.118
108.0	0.118
110.0	0.118
112.0	0.118
114.0	0.118
116.0	0.118
118.0	0.118
120.0	0.118
122.0	0.118
124.0	0.118
126.0	0.118
128.0	0.118
130.0	0.118
132.0	0.118
134.0	10.000
136.0	0.873
138.0	0.868
140.0	0.863
142.0	0.857
144.0	0.852
146.0	0.848
148.0	0.842
150.0	0.837
152.0	0.832
154.0	0.826
156.0	0.821
158.0	0.816
160.0	0.811
162.0	0.806
164.0	0.800
166.0	0.795
168.0	0.789
170.0	0.785
172.0	0.780
174.0	0.776
176.0	0.771
178.0	0.766
180.0	0.761
182.0	0.756
184.0	0.751
186.0	0.748
188.0	0.743
190.0	0.739
192.0	0.733
194.0	0.730
196.0	0.726
198.0	0.722
200.0	0.718
202.0	0.713
204.0	0.710
206.0	0.706
208.0	0.703
210.0	0.698
212.0	0.695
214.0	0.691
216.0	0.688
218.0	0.683
220.0	0.680
222.0	0.677
224.0	0.673
226.0	0.670
228.0	0.666
230.0	0.662
232.0	0.659
234.0	0.656
236.0	0.653
238.0	0.650
240.0	0.646
242.0	0.642
244.0	0.640
246.0	0.637
248.0	0.633
250.0	0.629

