Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	10cells_970buffer_20imaz_lsz_2.UDT
Run Date:	12:12:31, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.003308	-0.003308	0.9424	0.8882

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	84.0	120.0	10.000	120.0	-0.376
2	120.0	124.0	218.0	0.382	218.0	0.306

Data Points
s	Abs
0.0	0.388
2.0	0.388
4.0	0.388
6.0	0.387
8.0	0.388
10.0	0.387
12.0	0.387
14.0	0.387
16.0	0.387
18.0	0.387
20.0	0.387
22.0	0.387
24.0	0.386
26.0	0.386
28.0	0.386
30.0	0.386
32.0	0.386
34.0	0.386
36.0	0.386
38.0	0.386
40.0	0.386
42.0	0.386
44.0	0.385
46.0	0.385
48.0	0.385
50.0	0.385
52.0	0.385
54.0	0.385
56.0	0.383
58.0	0.385
60.0	0.385
62.0	0.385
64.0	0.385
66.0	0.384
68.0	0.385
70.0	0.385
72.0	0.384
74.0	0.384
76.0	0.384
78.0	0.384
80.0	0.385
82.0	-0.414
84.0	10.000
86.0	0.119
88.0	0.119
90.0	0.119
92.0	0.119
94.0	0.119
96.0	0.119
98.0	0.119
100.0	0.119
102.0	0.119
104.0	0.118
106.0	0.119
108.0	0.119
110.0	0.119
112.0	0.119
114.0	0.119
116.0	0.118
118.0	0.119
120.0	-0.376
122.0	0.094
124.0	0.382
126.0	0.378
128.0	0.375
130.0	0.371
132.0	0.368
134.0	0.364
136.0	0.360
138.0	0.356
140.0	0.353
142.0	0.349
144.0	0.346
146.0	0.343
148.0	0.341
150.0	0.338
152.0	0.337
154.0	0.334
156.0	0.333
158.0	0.331
160.0	0.329
162.0	0.328
164.0	0.326
166.0	0.325
168.0	0.324
170.0	0.322
172.0	0.321
174.0	0.320
176.0	0.318
178.0	0.318
180.0	0.316
182.0	0.316
184.0	0.315
186.0	0.314
188.0	0.313
190.0	0.312
192.0	0.311
194.0	0.311
196.0	0.311
198.0	0.310
200.0	0.309
202.0	0.309
204.0	0.308
206.0	0.308
208.0	0.308
210.0	0.308
212.0	0.306
214.0	0.306
216.0	0.306
218.0	0.306

