Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	20cells_960buffer_20imaz_lsz_2.UDT
Run Date:	12:38:26, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.01083	-0.01083	0.9959	0.9917

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	78.0	100.0	10.000	100.0	0.118
2	100.0	120.0	258.0	0.799	258.0	10.000

Data Points
s	Abs
0.0	0.498
2.0	0.498
4.0	0.498
6.0	0.497
8.0	0.497
10.0	0.496
12.0	0.496
14.0	0.496
16.0	0.495
18.0	0.495
20.0	0.495
22.0	0.495
24.0	0.494
26.0	0.494
28.0	0.493
30.0	0.493
32.0	0.492
34.0	0.492
36.0	0.492
38.0	0.492
40.0	0.491
42.0	0.490
44.0	0.490
46.0	0.489
48.0	0.489
50.0	0.489
52.0	0.489
54.0	0.489
56.0	0.488
58.0	0.488
60.0	0.487
62.0	0.487
64.0	0.487
66.0	0.487
68.0	0.487
70.0	0.486
72.0	0.484
74.0	0.487
76.0	-0.539
78.0	10.000
80.0	0.118
82.0	0.118
84.0	0.118
86.0	0.118
88.0	0.118
90.0	0.118
92.0	0.118
94.0	0.118
96.0	0.118
98.0	0.118
100.0	0.118
102.0	0.118
104.0	0.118
106.0	0.118
108.0	0.118
110.0	0.118
112.0	0.118
114.0	0.118
116.0	0.118
118.0	0.118
120.0	0.799
122.0	0.443
124.0	0.436
126.0	0.429
128.0	0.423
130.0	0.416
132.0	0.410
134.0	0.405
136.0	0.399
138.0	0.393
140.0	0.389
142.0	0.384
144.0	0.380
146.0	0.375
148.0	0.372
150.0	0.368
152.0	0.364
154.0	0.361
156.0	0.358
158.0	0.356
160.0	0.353
162.0	0.350
164.0	0.348
166.0	0.346
168.0	0.344
170.0	0.341
172.0	0.340
174.0	0.338
176.0	0.336
178.0	0.334
180.0	0.333
182.0	0.332
184.0	0.330
186.0	0.328
188.0	0.327
190.0	0.326
192.0	0.325
194.0	0.324
196.0	0.323
198.0	0.322
200.0	0.320
202.0	0.320
204.0	0.318
206.0	0.318
208.0	0.317
210.0	0.316
212.0	0.316
214.0	0.315
216.0	0.314
218.0	0.313
220.0	0.313
222.0	0.312
224.0	0.312
226.0	0.310
228.0	0.310
230.0	0.309
232.0	0.309
234.0	0.309
236.0	0.308
238.0	0.307
240.0	0.308
242.0	0.306
244.0	0.305
246.0	0.305
248.0	0.305
250.0	0.304
252.0	0.304
254.0	0.303
256.0	0.303
258.0	10.000

