Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	10cells_970buffer_20imaz_lsz_3.UDT
Run Date:	12:19:33, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.005105	-0.005105	0.9833	0.9669

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	76.0	118.0	10.000	118.0	-0.252
2	118.0	120.0	208.0	10.000	208.0	0.289

Data Points
s	Abs
0.0	0.412
2.0	0.412
4.0	0.412
6.0	0.411
8.0	0.411
10.0	0.411
12.0	0.411
14.0	0.411
16.0	0.411
18.0	0.411
20.0	0.410
22.0	0.410
24.0	0.410
26.0	0.410
28.0	0.409
30.0	0.409
32.0	0.409
34.0	0.409
36.0	0.409
38.0	0.409
40.0	0.408
42.0	0.409
44.0	0.408
46.0	0.409
48.0	0.408
50.0	0.407
52.0	0.408
54.0	0.407
56.0	0.407
58.0	0.407
60.0	0.407
62.0	0.407
64.0	0.407
66.0	0.407
68.0	0.406
70.0	0.406
72.0	0.406
74.0	0.406
76.0	10.000
78.0	0.118
80.0	0.118
82.0	0.118
84.0	0.118
86.0	0.118
88.0	0.118
90.0	0.118
92.0	0.118
94.0	0.118
96.0	0.118
98.0	0.118
100.0	0.118
102.0	0.118
104.0	0.118
106.0	0.118
108.0	0.118
110.0	0.118
112.0	0.118
114.0	0.118
116.0	0.118
118.0	-0.252
120.0	10.000
122.0	0.358
124.0	0.354
126.0	0.350
128.0	0.346
130.0	0.342
132.0	0.340
134.0	0.336
136.0	0.333
138.0	0.330
140.0	0.327
142.0	0.325
144.0	0.322
146.0	0.321
148.0	0.318
150.0	0.316
152.0	0.314
154.0	0.313
156.0	0.311
158.0	0.310
160.0	0.308
162.0	0.307
164.0	0.305
166.0	0.304
168.0	0.303
170.0	0.302
172.0	0.301
174.0	0.300
176.0	0.299
178.0	0.298
180.0	0.297
182.0	0.297
184.0	0.296
186.0	0.295
188.0	0.294
190.0	0.294
192.0	0.293
194.0	0.293
196.0	0.292
198.0	0.292
200.0	0.291
202.0	0.291
204.0	0.290
206.0	0.290
208.0	0.289

