Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	40cells_940buffer_20imaz_lsz_3.UDT
Run Date:	13:28:32, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.01111	-0.01111	0.9922	0.9844

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	88.0	112.0	10.000	112.0	0.117
2	112.0	124.0	308.0	0.716	308.0	0.304

Data Points
s	Abs
0.0	0.846
2.0	0.846
4.0	0.847
6.0	0.846
8.0	0.846
10.0	0.846
12.0	0.845
14.0	0.844
16.0	0.844
18.0	0.844
20.0	0.843
22.0	0.842
24.0	0.842
26.0	0.842
28.0	0.842
30.0	0.841
32.0	0.841
34.0	0.840
36.0	0.840
38.0	0.839
40.0	0.840
42.0	0.839
44.0	0.838
46.0	0.838
48.0	0.838
50.0	0.837
52.0	0.837
54.0	0.837
56.0	0.837
58.0	0.837
60.0	0.836
62.0	0.836
64.0	0.837
66.0	0.836
68.0	0.836
70.0	0.836
72.0	0.834
74.0	0.835
76.0	0.834
78.0	0.835
80.0	0.834
82.0	0.834
84.0	0.833
86.0	0.838
88.0	10.000
90.0	0.117
92.0	0.117
94.0	0.117
96.0	0.117
98.0	0.117
100.0	0.117
102.0	0.117
104.0	0.117
106.0	0.117
108.0	0.117
110.0	0.117
112.0	0.117
114.0	0.117
116.0	0.117
118.0	0.117
120.0	0.117
122.0	0.167
124.0	0.716
126.0	0.697
128.0	0.680
130.0	0.664
132.0	0.650
134.0	0.637
136.0	0.625
138.0	0.613
140.0	0.603
142.0	0.593
144.0	0.583
146.0	0.575
148.0	0.566
150.0	0.558
152.0	0.551
154.0	0.543
156.0	0.536
158.0	0.529
160.0	0.522
162.0	0.516
164.0	0.510
166.0	0.504
168.0	0.498
170.0	0.492
172.0	0.487
174.0	0.482
176.0	0.477
178.0	0.472
180.0	0.467
182.0	0.462
184.0	0.457
186.0	0.453
188.0	0.449
190.0	0.445
192.0	0.442
194.0	0.437
196.0	0.434
198.0	0.429
200.0	0.426
202.0	0.423
204.0	0.419
206.0	0.416
208.0	0.412
210.0	0.409
212.0	0.406
214.0	0.403
216.0	0.400
218.0	0.397
220.0	0.394
222.0	0.391
224.0	0.388
226.0	0.385
228.0	0.383
230.0	0.380
232.0	0.378
234.0	0.375
236.0	0.373
238.0	0.370
240.0	0.367
242.0	0.365
244.0	0.363
246.0	0.360
248.0	0.358
250.0	0.356
252.0	0.354
254.0	0.352
256.0	0.349
258.0	0.347
260.0	0.345
262.0	0.343
264.0	0.341
266.0	0.339
268.0	0.337
270.0	0.336
272.0	0.334
274.0	0.332
276.0	0.330
278.0	0.328
280.0	0.327
282.0	0.325
284.0	0.323
286.0	0.321
288.0	0.320
290.0	0.318
292.0	0.317
294.0	0.315
296.0	0.314
298.0	0.312
300.0	0.310
302.0	0.309
304.0	0.308
306.0	0.306
308.0	0.304

