Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	50cells_930buffer_20imaz_lsz_1.UDT
Run Date:	13:37:00, 02/12/2026
Operator:	Badun GA
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.01334	-0.01334	0.9968	0.9936

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	86.0	92.0	10.000	92.0	0.117
2	92.0	126.0	240.0	10.000	240.0	0.383

Data Points
s	Abs
0.0	0.963
2.0	0.962
4.0	0.962
6.0	0.962
8.0	0.961
10.0	0.961
12.0	0.960
14.0	0.960
16.0	0.959
18.0	0.959
20.0	0.958
22.0	0.958
24.0	0.957
26.0	0.957
28.0	0.956
30.0	0.956
32.0	0.955
34.0	0.955
36.0	0.955
38.0	0.954
40.0	0.954
42.0	0.953
44.0	0.953
46.0	0.952
48.0	0.952
50.0	0.952
52.0	0.951
54.0	0.951
56.0	0.951
58.0	0.950
60.0	0.950
62.0	0.950
64.0	0.949
66.0	0.950
68.0	0.950
70.0	0.949
72.0	0.949
74.0	0.948
76.0	0.948
78.0	0.948
80.0	0.948
82.0	0.947
84.0	-0.214
86.0	10.000
88.0	0.117
90.0	0.117
92.0	0.117
94.0	0.117
96.0	0.117
98.0	0.117
100.0	0.117
102.0	0.117
104.0	0.117
106.0	0.117
108.0	0.117
110.0	0.117
112.0	0.117
114.0	0.117
116.0	0.117
118.0	0.117
120.0	0.117
122.0	0.117
124.0	0.117
126.0	10.000
128.0	0.795
130.0	0.772
132.0	0.752
134.0	0.734
136.0	0.717
138.0	0.701
140.0	0.687
142.0	0.673
144.0	0.661
146.0	0.649
148.0	0.638
150.0	0.627
152.0	0.617
154.0	0.608
156.0	0.598
158.0	0.590
160.0	0.581
162.0	0.573
164.0	0.566
166.0	0.558
168.0	0.550
170.0	0.543
172.0	0.537
174.0	0.530
176.0	0.523
178.0	0.517
180.0	0.511
182.0	0.506
184.0	0.500
186.0	0.494
188.0	0.489
190.0	0.483
192.0	0.478
194.0	0.473
196.0	0.468
198.0	0.463
200.0	0.459
202.0	0.454
204.0	0.449
206.0	0.445
208.0	0.441
210.0	0.436
212.0	0.433
214.0	0.428
216.0	0.424
218.0	0.421
220.0	0.417
222.0	0.413
224.0	0.410
226.0	0.406
228.0	0.403
230.0	0.400
232.0	0.396
234.0	0.393
236.0	0.390
238.0	0.387
240.0	0.383

