Sample:	'LSZ-0.9gl_0.028Mphosph_buffer
File name:	30cells_950buffer_20imaz_lsz_3.UDT
Run Date:	13:08:23, 02/12/2026
Operator:	Nobody
Comment:	'

Instrument
Model:	U-5100 Spectrophotometer
Serial Number:	'2201-044
ROM Version:	3J25300 05
Option:	6-Cell Positioner (Off)

Instrument Parameters
Measurement Type:	Time Scan
Data Mode:	Abs
Scan Time:	600 s
Wavelength:	650.0 nm
Sampling Interval:	2.0 s
Delay:	0 s
Auto Zero before each run:	Off
Slit Width:	5.00 nm
Response:	Fast
Path Correct:	On
Path Length:	10.0 mm

Kinetic Data
Start (s)	End (s)	K Factor	Slope (/min)	Activity	R	R2
0.0	60.0	1.000000	-0.008777	-0.008777	0.9816	0.9635

Peak Detection
Integration Method:	Rectangular
Sensitivity:	1
Threshold:	0.0100

Peaks
Peak #	Start (s)	Apex (s)	End (s)	Height (Abs)	Valley (s)	Valley (Abs)
1	0.0	84.0	102.0	0.777	102.0	0.117
2	102.0	124.0	210.0	10.000	210.0	0.397

Data Points
s	Abs
0.0	0.758
2.0	0.757
4.0	0.758
6.0	0.757
8.0	0.757
10.0	0.756
12.0	0.756
14.0	0.755
16.0	0.755
18.0	0.754
20.0	0.754
22.0	0.753
24.0	0.753
26.0	0.753
28.0	0.753
30.0	0.753
32.0	0.753
34.0	0.752
36.0	0.751
38.0	0.752
40.0	0.751
42.0	0.751
44.0	0.750
46.0	0.751
48.0	0.750
50.0	0.751
52.0	0.750
54.0	0.750
56.0	0.749
58.0	0.750
60.0	0.749
62.0	0.749
64.0	0.749
66.0	0.749
68.0	0.748
70.0	0.749
72.0	0.748
74.0	0.748
76.0	0.748
78.0	0.748
80.0	0.748
82.0	-0.362
84.0	0.777
86.0	0.117
88.0	0.117
90.0	0.117
92.0	0.117
94.0	0.117
96.0	0.117
98.0	0.117
100.0	0.117
102.0	0.117
104.0	0.117
106.0	0.117
108.0	0.117
110.0	0.117
112.0	0.117
114.0	0.117
116.0	0.117
118.0	0.117
120.0	0.117
122.0	-0.667
124.0	10.000
126.0	0.627
128.0	0.614
130.0	0.602
132.0	0.591
134.0	0.580
136.0	0.571
138.0	0.562
140.0	0.553
142.0	0.546
144.0	0.537
146.0	0.530
148.0	0.523
150.0	0.517
152.0	0.510
154.0	0.505
156.0	0.499
158.0	0.493
160.0	0.488
162.0	0.483
164.0	0.478
166.0	0.473
168.0	0.468
170.0	0.464
172.0	0.460
174.0	0.455
176.0	0.451
178.0	0.448
180.0	0.444
182.0	0.439
184.0	0.436
186.0	0.432
188.0	0.429
190.0	0.426
192.0	0.423
194.0	0.419
196.0	0.416
198.0	0.414
200.0	0.410
202.0	0.408
204.0	0.405
206.0	0.402
208.0	0.399
210.0	0.397

